L1_Category_name,L1_Category_id,L2_Category_name,L2_Category_id,L3_Category_name,L3_Category_id,L4_Category_name,L4_Category_id,L5_Category_name,L5_Category_id
Event,4d4b7105d754a06373d81259,Stoop Sale,52f2ab2ebcbc57f1066b8b54,,,,,,
Event,4d4b7105d754a06373d81259,Street Fair,5267e4d8e4b0ec79466e48c5,,,,,,
Event,4d4b7105d754a06373d81259,Trade Fair,5bae9231bedf3950379f89c3,,,,,,
Food,4d4b7105d754a06374d81259,Food,4d4b7105d754a06374d81259,,,,,,
Food,4d4b7105d754a06374d81259,Afghan Restaurant,503288ae91d4c4b30a586d67,,,,,,
Food,4d4b7105d754a06374d81259,African Restaurant,4bf58dd8d48988d1c8941735,Ethiopian Restaurant,4bf58dd8d48988d10a941735,,,,
Food,4d4b7105d754a06374d81259,American Restaurant,4bf58dd8d48988d14e941735,New American Restaurant,4bf58dd8d48988d157941735,,,,
Food,4d4b7105d754a06374d81259,American Restaurant,4bf58dd8d48988d14e941735,Frozen Yogurt,,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Burmese Restaurant,56aa371be4b08b9a8d573568,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Cambodian Restaurant,52e81612bcbc57f1066b7a03,,,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Anhui Restaurant,52af3a5e3cf9994f4e043bea,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Beijing Restaurant,52af3a723cf9994f4e043bec,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Cantonese Restaurant,52af3a7c3cf9994f4e043bed,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Cha Chaan Teng,58daa1558bbb0b01f18ec1d3,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Chinese Aristocrat Restaurant,52af3a673cf9994f4e043beb,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Chinese Breakfast Place,52af3a903cf9994f4e043bee,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Dim Sum Restaurant,4bf58dd8d48988d1f5931735,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Dongbei Restaurant,52af3a9f3cf9994f4e043bef,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Fujian Restaurant,52af3aaa3cf9994f4e043bf0,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Guizhou Restaurant,52af3ab53cf9994f4e043bf1,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Hainan Restaurant,52af3abe3cf9994f4e043bf2,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Hakka Restaurant,52af3ac83cf9994f4e043bf3,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Henan Restaurant,52af3ad23cf9994f4e043bf4,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Hong Kong Restaurant,52af3add3cf9994f4e043bf5,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Huaiyang Restaurant,52af3af23cf9994f4e043bf7,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Hubei Restaurant,52af3ae63cf9994f4e043bf6,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Hunan Restaurant,52af3afc3cf9994f4e043bf8,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Imperial Restaurant,52af3b053cf9994f4e043bf9,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Jiangsu Restaurant,52af3b213cf9994f4e043bfa,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Jiangxi Restaurant,52af3b293cf9994f4e043bfb,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Macanese Restaurant,52af3b343cf9994f4e043bfc,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Manchu Restaurant,52af3b3b3cf9994f4e043bfd,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Peking Duck Restaurant,52af3b463cf9994f4e043bfe,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Shaanxi Restaurant,52af3b633cf9994f4e043c01,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Shandong Restaurant,52af3b513cf9994f4e043bff,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Shanghai Restaurant,52af3b593cf9994f4e043c00,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Shanxi Restaurant,52af3b6e3cf9994f4e043c02,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Szechuan Restaurant,52af3b773cf9994f4e043c03,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Taiwanese Restaurant,52af3b813cf9994f4e043c04,,
Food,4d4b7105d754a06374d81259,Asian Restaurant,4bf58dd8d48988d142941735,Chinese Restaurant,4bf58dd8d48988d145941735,Tianjin Restaurant,52af3b893cf9994f4e043c05,,
